heading,body
"Bihar minor, 'raped' by school director's son for two years, recalls horror: 'He filmed entire incident'",Swati Maliwal the Delhi Commission for Women has written to Bihar chief minister Nitish Kumar raising concerns in connection with the alleged rape of a girl for over two years by the son of a school director in Saharsa.
Delhi excise policy case: Supreme Court defers hearing on Manish Sisodia's bail plea to October 4,"New Delhi [India], September 15 (ANI): The Supreme Court on Friday adjourned the hearing on the bail plea of Aam Aadmi Party leader Manish Sisodia in a matter connected with liquor policy irregularities."
"Centre grants political clearance to Gopal Rai to travel to NY for Columbia India Energy Dialogue, HC told","New Delhi, Sep 15 (PTI) The Centre Friday told the Delhi High Court it has granted political clearance to Delhi Environment Minister Gopal Rai to travel to New York from September 15 to 21 to attend Columbia India Energy Dialogue."
City court reserves orders on Senthil Balaji's bail plea,"Chennai, Sep 15 (PTI) A sessions court on Friday reserved orders for September 20, on the bail petition filed by DMK Minister Senthil Balaji, who was arrested in connection with a money laundering case by the Enforcement Directorate (ED) in June."
"Anantnag encounter: Son salutes Col. Manpreet Singh, Punjab governor lays wreath as braveheart laid to rest with military honours","Mohali (Punjab) [India], September 15 (ANI): Punjab GovernorBanwarilal Purohit laid a wreath on the mortal remains of Col. Manpreet Singh, who was among two senior Army officers killed in the ongoing gunfight with terrorists in the Anantnag district of Jammu and Kashmir ."
"SC asks HCs, tribunals to inform whether hybrid mode of hearings stopped?","New Delhi [India], September 15 (ANI): The Supreme Court on Friday asked the Registrar Generals of all the High Courts and some Tribunals to file affidavit on whether they are allowing hybrid mode of hearings for court proceedings."
Tamil Nadu: Beneficiaries laud Kalaignar Women's Rights fund scheme launched by CM Stalin,Beneficiaries of the 'Kalaignar Magalir Urimai Thogai Thittam' scheme (Kalaignar Women's rights fund scheme) launched in Tamil Nadu on Friday have expressed their gratitude to chief minister M K Stalin and stated that the scheme will help them become self-reliant.
Preparations underway for Modi's proposed visit to Jolingkong and Adi Kailash viewpoint in Pithoragarh,"Pithoragarh: Preparations have commenced for Prime Minister Narendra Modi's proposed visit to Jolingkong and Adi Kailash viewpoint here next month, officials said on Friday."
'Unpardonable': Yediyurappa alleges secret Cauvery water transfer to Tamil Nadu,Senior Bharatiya Janata Party (BJP) leader and former Karnataka Chief Minister BS Yediyurappa alleged that the Congress government in the state secretly transferred Cauvery water to Tamil Nadu and said it was an unpardonable offence.
"PM Modi greets Netanyahu, people of Israel on Jewish New Year","Prime Minister Narendra Modi on Friday extended greetings to his ""friend"" Israel PM Benjamin Netanyahu and Jewish community around the world on Jewish New Year Rosh Hashanah."
