Title,Description,Sentiment,Department
NewsOnAir Radio Live-stream Global Rankings,In the latest rankings of top countries in the India has performedvery well,neutral,Ministry of Health and Family Welfare
"Anurag Thakur praised MP Hema Malini's book 'Chal Mana Vrindavan', associated with religion and culture","New Delhi, Agency.Union Minister Anurag Thakur on Friday praised BJP MP Hema Malini's book 'Chal Mana Vrindavan' and said that this book beauty highlights the aspects related to the history, culture and religion of Vrindavan.
At the book release ceremony, Anurag Thakur said, ""The mind Vrindavan, the history, culture and religion associated with the historical city of Vrindavan beautifully highlights.""Actor and BJP MP Hema Malini has contributed a lot to this book.He has highlighted many characteristics of the history, culture and religion of Vrindavan.

Anantnag Encounter: Encounter continued for 72 hours, dense forest-ghafas became obstacles;Campaign started to eliminate terrorists
Meanwhile, speaking on the moving book Vrindavan, Hema Malini, MP from Mathura in Uttar Pradesh, said that this book has complete details of Brij region and writing it was a blessing for him.
Govardhan has been described

At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.At the book release ceremony, Anurag Thakur said, ""The mind Vrindavan, the history, culture and religion associated with the historical city of Vrindavan beautifully highlights.""Actor and BJP MP Hema Malini has contributed a lot to this book.He has highlighted many characteristics of the history, culture and religion of Vrindavan.

Anantnag Encounter: Encounter continued for 72 hours, dense forest-ghafas became obstacles;Campaign started to eliminate terrorists
Meanwhile, speaking on the moving book Vrindavan, Hema Malini, MP from Mathura in Uttar Pradesh, said that this book has complete details of Brij region and writing it was a blessing for him.
Govardhan has been described

At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.Anantnag Encounter: Encounter continued for 72 hours, dense forest-ghafas became obstacles;Campaign started to eliminate terrorists
Meanwhile, speaking on the moving book Vrindavan, Hema Malini, MP from Mathura in Uttar Pradesh, said that this book has complete details of Brij region and writing it was a blessing for him.
Govardhan has been described

At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.Meanwhile, speaking on the moving book Vrindavan, Hema Malini, MP from Mathura in Uttar Pradesh, said that this book has complete details of Brij region and writing it was a blessing for him.
Govardhan has been described

At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.At the Book Launch event in Delhi last month, Malini had said, 'Chal Mana Vrindavan' is written in two languages, Hindi and English.The book will give complete information about the entire Brij region, Govardhan, Nandgaon, Barsana, Mathura and all.How Vrindavan's Holi and Raas Leela are organized in the book.",positive,Others
Approval for purchase of 12 Sukhoi fighter aircraft for Air Force,"the JSON object must be str, bytes or bytearray, not NoneType",positive,Others
"Mukti Diwas Celebration: Amit Shah will go to Hyderabad, Telangana 'Mukti Day' celebrations on 17 September","the JSON object must be str, bytes or bytearray, not NoneType",neutral,Others
"Emmanuel Knen, who was convinced of India's Mahaman Nawaji, said- people here taught me a lot","New Delhi, Agency.French Ambassador to India Emmanuel Lankan thanked Delhi on Friday.During this time, he described the energy, optimism and faith in the friendship of both countries as invaluable.He said that India and the people here have taught me a lot and he will cherish the four years of service in India.He posted this comment by posting a video on X (East Twitter) on Friday.
In the video post on X, he said that dear friends, and Rivor (goodbye), today I am leaving India after four amazing years.I wanted to tell you thank you.You are following me.You are sharing thoughts, energy and optimism.This was a great help.Our countries achieved new progress in the Indo-Pacific region.

During this time he recalled Prime Minister Modi's visit to Basty Day Parade and talked about French President Emmanuel Macron's visit to India to attend the G20 summit.Knein's four -year term in India is ending soon and he will handle his next charge in Brazil.In the video post on X, he said that dear friends, and Rivor (goodbye), today I am leaving India after four amazing years.I wanted to tell you thank you.You are following me.You are sharing thoughts, energy and optimism.This was a great help.Our countries achieved new progress in the Indo-Pacific region.

During this time he recalled Prime Minister Modi's visit to Basty Day Parade and talked about French President Emmanuel Macron's visit to India to attend the G20 summit.Knein's four -year term in India is ending soon and he will handle his next charge in Brazil.During this time he recalled Prime Minister Modi's visit to Basty Day Parade and talked about French President Emmanuel Macron's visit to India to attend the G20 summit.Knein's four -year term in India is ending soon and he will handle his next charge in Brazil.",positive,Others
"Ayushman Card: One lakh Ayushman card made in two days through app, poor will get free treatment up to five lakhs","New Delhi, Agency.Ayushman cards, which provide free treatment up to five lakh rupees to citizens below the poverty line, have been made in more than one lakh numbers in the last two days.These cards were made through online Ayushman app.These cards have been made under the Ayushman Bhava Abhiyan.This information has been given by Union Health Minister Mansukh Mandavia.
Health Minister gave information on X


Mandavia has issued a message through X, stating that in the first two days of Ayushman Bhava Abhiyan, more than one lakh Ayushman cards were made through the Ayushman app.On 13 September, President Draupadi Murmu started the Ayushman Bhava Abhiyan.This is the central government's step to provide better healthcare to the last person of the society.
On this occasion, President Murmu had said that this campaign will help in achieving the government's goal of giving complete health protection to the weaker sections of the society.Under the Ayushman Bhava Abhiyan, people of weaker sections will get three -tier health benefits.
Cure for low price
Health Minister Mandavia said, Ayushman Card Scheme is a step taken under the development of the central government under the development.In this, the objective of moving forward with everyone in the society and not behind anyone lies.Through this new campaign, India is writing a chapter to provide health facilities to every person at a low price.Mandavia has issued a message through X, stating that in the first two days of Ayushman Bhava Abhiyan, more than one lakh Ayushman cards were made through the Ayushman app.On 13 September, President Draupadi Murmu started the Ayushman Bhava Abhiyan.This is the central government's step to provide better healthcare to the last person of the society.
On this occasion, President Murmu had said that this campaign will help in achieving the government's goal of giving complete health protection to the weaker sections of the society.Under the Ayushman Bhava Abhiyan, people of weaker sections will get three -tier health benefits.
Cure for low price
Health Minister Mandavia said, Ayushman Card Scheme is a step taken under the development of the central government under the development.In this, the objective of moving forward with everyone in the society and not behind anyone lies.Through this new campaign, India is writing a chapter to provide health facilities to every person at a low price.Mandavia has issued a message through X, stating that in the first two days of Ayushman Bhava Abhiyan, more than one lakh Ayushman cards were made through the Ayushman app.On 13 September, President Draupadi Murmu started the Ayushman Bhava Abhiyan.This is the central government's step to provide better healthcare to the last person of the society.
On this occasion, President Murmu had said that this campaign will help in achieving the government's goal of giving complete health protection to the weaker sections of the society.Under the Ayushman Bhava Abhiyan, people of weaker sections will get three -tier health benefits.
Cure for low price
Health Minister Mandavia said, Ayushman Card Scheme is a step taken under the development of the central government under the development.In this, the objective of moving forward with everyone in the society and not behind anyone lies.Through this new campaign, India is writing a chapter to provide health facilities to every person at a low price.On this occasion, President Murmu had said that this campaign will help in achieving the government's goal of giving complete health protection to the weaker sections of the society.Under the Ayushman Bhava Abhiyan, people of weaker sections will get three -tier health benefits.
Cure for low price
Health Minister Mandavia said, Ayushman Card Scheme is a step taken under the development of the central government under the development.In this, the objective of moving forward with everyone in the society and not behind anyone lies.Through this new campaign, India is writing a chapter to provide health facilities to every person at a low price.Health Minister Mandavia said, Ayushman Card Scheme is a step taken under the development of the central government under the development.In this, the objective of moving forward with everyone in the society and not behind anyone lies.Through this new campaign, India is writing a chapter to provide health facilities to every person at a low price.",positive,Ministry of Defence
"Bihar minor, 'raped' by school director's son for two years, recalls horror: 'He filmed entire incident'",Swati Maliwal the Delhi Commission for Women has written to Bihar chief minister Nitish Kumar raising concerns in connection with the alleged rape of a girl for over two years by the son of a school director in Saharsa.,negative,Ministry of Health and Family Welfare
Delhi excise policy case: Supreme Court defers hearing on Manish Sisodia's bail plea to October 4,"New Delhi [India], September 15 (ANI): The Supreme Court on Friday adjourned the hearing on the bail plea of Aam Aadmi Party leader Manish Sisodia in a matter connected with liquor policy irregularities.",positive,Ministry of Defence
"Centre grants political clearance to Gopal Rai to travel to NY for Columbia India Energy Dialogue, HC told","New Delhi, Sep 15 (PTI) The Centre Friday told the Delhi High Court it has granted political clearance to Delhi Environment Minister Gopal Rai to travel to New York from September 15 to 21 to attend Columbia India Energy Dialogue.",positive,"Ministry of Environment, Forest and Climate Change"
City court reserves orders on Senthil Balaji's bail plea,"Chennai, Sep 15 (PTI) A sessions court on Friday reserved orders for September 20, on the bail petition filed by DMK Minister Senthil Balaji, who was arrested in connection with a money laundering case by the Enforcement Directorate (ED) in June.",neutral,Ministry of Defence
